165 	 44 
ID 	NL/450/88 	BE/353/89 	GU/54/89 	NL/620/89 	HK/34/90 	VI/2/90 	LY/1149/91 	BE/32A/92 	BE/32V/92 	BE/32B/92 	GD/25/93 	MA/G252/93 	OS/2352/93 	SD/9/93 	JO/33/94 	NL/18/94 	PR/413/94 	FI/338/95 	GE/A9509/95 	LY/2279/95 	NA/933/95 	NL/1/95 	NL/47/95 	NL/218/95 	WU/359B/95 	BR/8/96 	NL/172/96 	SP/1/96 	AU/10/97 	NL/286/97 	SY/5A/97 	SY/5B/97 	SY/5HAY/97 	SY/5V/97 	NL/5/98 	MW/10/99 	PM/2007/99 	NL/118/01 	NL/124/01 	NL/126/01 	FU/411/02 	NL/1/02 	NL/22/03 	NL/88/03 
LY/24222/91 	640 	2560 	0 	2560 	0 	2560 	0 	0 	0 	0 	0 	0 	0 	50 	40 	0 	0 	50 	0 	35 	10 	0 	0 	0 	0 	0 	40 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 
MA/G12/91 	403 	1280 	0 	4064 	0 	2560 	0 	0 	0 	0 	0 	0 	0 	40 	<5 	0 	0 	40 	0 	10 	<5 	0 	0 	0 	0 	0 	10 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 
NL/816/91 	1280 	1280 	0 	2560 	0 	2560 	0 	0 	0 	0 	0 	0 	0 	40 	<5 	0 	0 	40 	0 	<10 	<5 	0 	0 	0 	0 	0 	10 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 
ST/20/91 	640 	2560 	0 	640 	0 	2560 	0 	0 	0 	0 	0 	0 	0 	30 	<5 	0 	0 	30 	0 	12 	<5 	0 	0 	0 	0 	0 	10 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 
AM/4112/92 	1280 	1280 	0 	5120 	0 	2560 	0 	0 	0 	0 	0 	0 	0 	60 	20 	0 	0 	40 	0 	20 	<5 	0 	0 	0 	0 	0 	20 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 
BE/32/92 	80 	79 	40 	160 	10240 	<40 	55 	735 	1093 	905 	96 	40 	0 	320 	97 	<10 	0 	0 	0 	23 	15 	73 	16 	48 	0 	0 	48 	15 	<10 	23 	0 	0 	0 	<10 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 
ES/1285/92 	320 	640 	0 	5120 	0 	2560 	0 	0 	0 	0 	0 	0 	0 	35 	<5 	0 	0 	30 	0 	10 	<5 	0 	0 	0 	0 	0 	15 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 
FI/218/92 	160 	640 	0 	640 	0 	640 	0 	0 	0 	0 	0 	0 	0 	20 	20 	0 	0 	30 	0 	20 	<5 	0 	0 	0 	0 	0 	20 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 
FI/220/92 	160 	403 	0 	640 	0 	640 	0 	0 	0 	0 	0 	0 	0 	40 	20 	0 	0 	40 	0 	12 	<5 	0 	0 	0 	0 	0 	10 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 
FI/247/92 	40 	40 	0 	160 	640 	<40 	<10 	640 	0 	160 	0 	80 	0 	1280 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 
GE/5113/92 	320 	1280 	0 	2560 	0 	1280 	0 	0 	0 	0 	0 	0 	0 	10 	<5 	0 	0 	18 	0 	<5 	<5 	0 	0 	0 	0 	0 	10 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 
HO/56798/92 	320 	1280 	0 	1280 	0 	1280 	0 	0 	0 	0 	0 	0 	0 	35 	<5 	0 	0 	40 	0 	12 	<5 	0 	0 	0 	0 	0 	10 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 
HO/56829/92 	640 	1280 	0 	2560 	0 	1280 	0 	0 	0 	0 	0 	0 	0 	40 	18 	0 	0 	40 	0 	20 	<5 	0 	0 	0 	0 	0 	40 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 
HO/56941/92 	320 	1280 	0 	1280 	0 	1280 	0 	0 	0 	0 	0 	0 	0 	40 	20 	0 	0 	60 	0 	30 	<10 	0 	0 	0 	0 	0 	20 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 
MA/G58/92 	640 	640 	0 	2560 	0 	1280 	0 	0 	0 	0 	0 	0 	0 	80 	40 	0 	0 	40 	0 	20 	18 	0 	0 	0 	0 	0 	20 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 
